Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Claim_Date,Claim_Year,Claim_Month,Claim_Day,Claim_Hour,Name,Type,City,Contact
1,164,908,Pending,2025-03-05 05:26:00,2025-03-05,2025,March,Wednesday,5,Abigail Crawford,NGO,Lake Shawn,(010)152-8668
2,353,391,Cancelled,2025-03-11 10:24:00,2025-03-11,2025,March,Tuesday,10,Regina Munoz,NGO,Lake Clinton,585.955.3149
3,626,492,Completed,2025-03-21 00:59:00,2025-03-21,2025,March,Friday,0,Julie Lewis,NGO,South Steven,(557)352-3497x4606
4,61,933,Cancelled,2025-03-04 09:08:00,2025-03-04,2025,March,Tuesday,9,Jodi Lee,NGO,West Paulfort,3517962649
5,345,229,Pending,2025-03-14 15:17:00,2025-03-14,2025,March,Friday,15,Tina Watkins,Shelter,Bushview,7774795306
6,273,607,Cancelled,2025-03-02 02:50:00,2025-03-02,2025,March,Sunday,2,Sean Wolf,NGO,Mcfarlandhaven,(490)913-7034x400
7,735,256,Cancelled,2025-03-07 23:58:00,2025-03-07,2025,March,Friday,23,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002
8,382,900,Pending,2025-03-05 07:07:00,2025-03-05,2025,March,Wednesday,7,Hannah Reynolds,Charity,East Kevinberg,731-040-5330x77836
9,278,807,Completed,2025-03-18 02:26:00,2025-03-18,2025,March,Tuesday,2,Taylor Miller,NGO,Josephside,+1-022-270-5486x316
10,669,975,Completed,2025-03-06 19:57:00,2025-03-06,2025,March,Thursday,19,Danielle Bullock,Individual,Amandafurt,(888)253-9476x2056
11,290,118,Pending,2025-03-04 23:01:00,2025-03-04,2025,March,Tuesday,23,Matthew Tran,Charity,South Franciscoport,583.144.1560x457
12,694,739,Completed,2025-03-01 21:55:00,2025-03-01,2025,March,Saturday,21,Nancy Jones,Shelter,West Bradley,806.457.8047x368
13,951,959,Pending,2025-03-08 13:08:00,2025-03-08,2025,March,Saturday,13,Samantha Gomez,Charity,Suzanneton,001-955-495-8534x09912
14,426,233,Cancelled,2025-03-08 16:08:00,2025-03-08,2025,March,Saturday,16,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578
15,684,97,Completed,2025-03-07 08:00:00,2025-03-07,2025,March,Friday,8,Nathan May,Charity,South Veronicaburgh,(808)784-9354
16,320,836,Cancelled,2025-03-07 06:17:00,2025-03-07,2025,March,Friday,6,Scott Craig,Shelter,South Lisa,118.382.6136
