Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Claim_Date,Claim_Year,Claim_Month,Claim_Day,Claim_Hour,Receiver_Name,Receiver_Type,Receiver_City,Receiver_Contact,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Expiry_Year,Expiry_Month,Expiry_Day,Provider_Name,Provider_Category,Address,Provider_City,Provider_Contact
1,164,908,Pending,2025-03-05 05:26:00,2025-03-05,2025,March,Wednesday,5,Abigail Crawford,NGO,Lake Shawn,(010)152-8668,Dairy,22,2025-03-27,432,Restaurant,Carolchester,Vegan,Dinner,2025,March,27,Meyer and Sons,Restaurant,"08209 Eaton Streets Apt. 968
South Laurenside, RI 88383",Carolchester,001-738-662-6338
2,353,391,Cancelled,2025-03-11 10:24:00,2025-03-11,2025,March,Tuesday,10,Regina Munoz,NGO,Lake Clinton,585.955.3149,Fruits,5,2025-03-29,418,Restaurant,Deborahfurt,Non-Vegetarian,Lunch,2025,March,29,"Schwartz, Odonnell and Padilla",Restaurant,"23011 Barnett Falls Apt. 524
West Cameron, WY 52614",Deborahfurt,955-658-8107x92494
3,626,492,Completed,2025-03-21 00:59:00,2025-03-21,2025,March,Friday,0,Julie Lewis,NGO,South Steven,(557)352-3497x4606,Salad,37,2025-03-29,274,Supermarket,New Dawnborough,Non-Vegetarian,Breakfast,2025,March,29,Shields-Moore,Supermarket,"922 Bailey Overpass Suite 885
New William, VA 50509",New Dawnborough,9332911651
4,61,933,Cancelled,2025-03-04 09:08:00,2025-03-04,2025,March,Tuesday,9,Jodi Lee,NGO,West Paulfort,3517962649,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,2025,March,22,Davis-Hurley,Catering Service,"687 Sparks Forks
East Patricia, NC 25546",West Catherine,(172)389-0239x87614
5,345,229,Pending,2025-03-14 15:17:00,2025-03-14,2025,March,Friday,15,Tina Watkins,Shelter,Bushview,7774795306,Pasta,14,2025-03-20,346,Grocery Store,Thomasville,Vegan,Lunch,2025,March,20,"Phillips, Wolfe and Martin",Grocery Store,"Unit 1376 Box 6294
DPO AE 62072",Thomasville,001-548-413-4962
6,273,607,Cancelled,2025-03-02 02:50:00,2025-03-02,2025,March,Sunday,2,Sean Wolf,NGO,Mcfarlandhaven,(490)913-7034x400,Salad,32,2025-03-16,446,Catering Service,Port Richardshire,Non-Vegetarian,Lunch,2025,March,16,Nichols-Barnes,Catering Service,"PSC 0287, Box 6878
APO AP 95472",Port Richardshire,507-731-3315
7,735,256,Cancelled,2025-03-07 23:58:00,2025-03-07,2025,March,Friday,23,Derek Wilson,Individual,Christopherland,+1-963-859-7585x002,Fish,2,2025-03-19,459,Supermarket,Castilloport,Non-Vegetarian,Snacks,2025,March,19,Brown Ltd,Supermarket,"8358 Randy Mission
Markmouth, SC 03456",Castilloport,164.699.6716
8,382,900,Pending,2025-03-05 07:07:00,2025-03-05,2025,March,Wednesday,7,Hannah Reynolds,Charity,East Kevinberg,731-040-5330x77836,Salad,42,2025-03-20,208,Restaurant,East Garyton,Non-Vegetarian,Dinner,2025,March,20,"Miller, Johnson and Fernandez",Restaurant,"228 Kathryn Mountains Suite 986
Cortezmouth, IA 90538",East Garyton,985.790.0081x8718
9,278,807,Completed,2025-03-18 02:26:00,2025-03-18,2025,March,Tuesday,2,Taylor Miller,NGO,Josephside,+1-022-270-5486x316,Soup,35,2025-03-24,66,Restaurant,Lake Michaelfurt,Non-Vegetarian,Lunch,2025,March,24,Lambert-Wilson,Restaurant,"2162 Johnson Field
East Caroline, AZ 13953",Lake Michaelfurt,+1-552-690-1512x083
10,669,975,Completed,2025-03-06 19:57:00,2025-03-06,2025,March,Thursday,19,Danielle Bullock,Individual,Amandafurt,(888)253-9476x2056,Vegetables,14,2025-03-27,164,Grocery Store,Sylviabury,Vegetarian,Dinner,2025,March,27,Yu-Rodriguez,Grocery Store,"144 Armstrong Viaduct Apt. 561
East Ericchester, UT 19438",Sylviabury,017.590.2372
11,290,118,Pending,2025-03-04 23:01:00,2025-03-04,2025,March,Tuesday,23,Matthew Tran,Charity,South Franciscoport,583.144.1560x457,Dairy,19,2025-03-19,315,Restaurant,Lake Andrewmouth,Non-Vegetarian,Lunch,2025,March,19,Nelson LLC,Restaurant,"773 Frazier Ranch
Kellerbury, GA 32205",Lake Andrewmouth,+1-859-029-3911x34890
12,694,739,Completed,2025-03-01 21:55:00,2025-03-01,2025,March,Saturday,21,Nancy Jones,Shelter,West Bradley,806.457.8047x368,Bread,50,2025-03-22,995,Supermarket,Manningshire,Vegetarian,Dinner,2025,March,22,Moore Group,Supermarket,"46915 Maynard Dam Suite 320
North Alyssa, CA 48762",Manningshire,889-093-8775x51762
13,951,959,Pending,2025-03-08 13:08:00,2025-03-08,2025,March,Saturday,13,Samantha Gomez,Charity,Suzanneton,001-955-495-8534x09912,Vegetables,20,2025-03-16,118,Supermarket,Lake Joseph,Vegan,Lunch,2025,March,16,Evans-Harrison,Supermarket,"2430 Michael Branch
Lake Brian, CA 67262",Lake Joseph,066.832.7189x65581
14,426,233,Cancelled,2025-03-08 16:08:00,2025-03-08,2025,March,Saturday,16,Alicia Porter,Charity,Port Ericmouth,001-652-614-2884x66578,Bread,6,2025-03-22,461,Restaurant,New Hannah,Vegetarian,Dinner,2025,March,22,Murray Inc,Restaurant,"9576 Johnson Course
Farrellport, IN 73821",New Hannah,291.605.6162
